iter	Passed	Remaining
0	191	65239
1	233	39599
2	272	30722
3	304	25616
4	337	22670
5	370	20703
6	403	19266
7	436	18174
8	470	17366
9	503	16676
10	539	16189
11	575	15788
12	608	15363
13	639	14938
14	669	14554
15	702	14269
16	733	13989
17	762	13673
18	791	13418
19	824	13240
20	857	13061
21	890	12907
22	923	12762
23	958	12657
24	992	12542
25	1024	12410
26	1057	12302
27	1089	12180
28	1119	12042
29	1150	11925
30	1183	11834
31	1216	11742
32	1244	11618
33	1274	11506
34	1304	11402
35	1332	11286
36	1362	11195
37	1392	11103
38	1419	10993
39	1453	10938
40	1484	10859
41	1515	10790
42	1550	10743
43	1581	10673
44	1614	10619
45	1645	10550
46	1677	10494
47	1705	10411
48	1736	10346
49	1765	10277
50	1796	10217
51	1825	10143
52	1852	10068
53	1884	10018
54	1913	9950
55	1946	9906
56	1980	9868
57	2012	9819
58	2045	9776
59	2075	9718
60	2103	9654
61	2134	9603
62	2165	9555
63	2195	9503
64	2227	9457
65	2254	9393
66	2282	9336
67	2314	9291
68	2343	9237
69	2377	9202
70	2410	9165
71	2442	9125
72	2473	9079
73	2501	9026
74	2540	9011
75	2574	8978
76	2605	8931
77	2633	8878
78	2664	8837
79	2750	8973
80	2785	8940
81	2814	8888
82	2843	8837
83	2875	8798
84	2905	8751
85	2939	8715
86	3005	8773
87	3102	8920
88	3190	9034
89	3295	9190
90	3354	9215
91	3453	9347
92	3518	9382
93	3632	9544
94	3737	9678
95	3844	9812
96	3895	9800
97	3934	9755
98	3970	9705
99	4011	9667
100	4054	9634
101	4088	9580
102	4138	9562
103	4175	9514
104	4210	9463
105	4241	9402
106	4278	9356
107	4311	9301
108	4344	9246
109	4375	9187
110	4407	9131
111	4440	9078
112	4472	9024
113	4503	8968
114	4543	8928
115	4574	8872
116	4607	8821
117	4641	8771
118	4675	8722
119	4708	8670
120	4740	8619
121	4772	8566
122	4802	8512
123	4834	8459
124	4863	8404
125	4894	8352
126	4924	8297
127	4957	8249
128	4988	8198
129	5019	8147
130	5049	8094
131	5078	8041
132	5109	7990
133	5139	7938
134	5171	7891
135	5203	7843
136	5234	7794
137	5265	7745
138	5297	7697
139	5331	7654
140	5363	7608
141	5394	7560
142	5427	7514
143	5456	7465
144	5487	7417
145	5526	7381
146	5558	7335
147	5592	7292
148	5622	7245
149	5652	7196
150	5683	7151
151	5713	7103
152	5745	7059
153	5779	7017
154	5812	6974
155	5845	6931
156	5874	6885
157	5902	6836
158	5939	6798
159	5974	6758
160	6004	6712
161	6033	6666
162	6065	6623
163	6098	6581
164	6130	6539
165	6161	6495
166	6193	6452
167	6226	6411
168	6258	6369
169	6289	6326
170	6318	6281
171	6349	6238
172	6381	6196
173	6414	6156
174	6447	6115
175	6478	6073
176	6521	6042
177	6556	6003
178	6589	5963
179	6622	5923
180	6654	5882
181	6689	5844
182	6723	5804
183	6752	5761
184	6780	5717
185	6811	5676
186	6844	5636
187	6877	5597
188	6906	5554
189	6939	5514
190	6972	5475
191	7005	5436
192	7038	5397
193	7072	5358
194	7104	5319
195	7138	5280
196	7171	5241
197	7204	5203
198	7236	5163
199	7269	5124
200	7297	5082
201	7327	5042
202	7357	5001
203	7390	4963
204	7423	4925
205	7457	4887
206	7490	4849
207	7537	4819
208	7569	4780
209	7603	4742
210	7635	4704
211	7668	4666
212	7700	4627
213	7735	4590
214	7769	4553
215	7802	4515
216	7835	4477
217	7868	4439
218	7900	4401
219	7934	4363
220	7968	4326
221	8001	4288
222	8032	4250
223	8064	4212
224	8093	4172
225	8123	4133
226	8155	4095
227	8187	4058
228	8220	4020
229	8250	3981
230	8283	3944
231	8316	3907
232	8348	3869
233	8377	3830
234	8414	3795
235	8451	3760
236	8481	3722
237	8522	3688
238	8555	3651
239	8586	3613
240	8619	3576
241	8650	3539
242	8680	3500
243	8714	3464
244	8751	3429
245	8782	3391
246	8815	3355
247	8847	3317
248	8880	3281
249	8913	3244
250	8946	3208
251	8980	3171
252	9012	3134
253	9045	3098
254	9082	3062
255	9112	3025
256	9145	2989
257	9178	2952
258	9207	2915
259	9239	2878
260	9269	2841
261	9301	2804
262	9333	2768
263	9364	2731
264	9395	2694
265	9427	2658
266	9461	2622
267	9493	2586
268	9543	2554
269	9577	2518
270	9609	2482
271	9641	2445
272	9670	2408
273	9698	2371
274	9732	2335
275	9764	2299
276	9792	2262
277	9825	2226
278	9858	2190
279	9893	2155
280	9926	2119
281	9958	2083
282	9990	2047
283	10026	2012
284	10058	1976
285	10091	1940
286	10128	1905
287	10160	1869
288	10196	1834
289	10235	1799
290	10281	1766
291	10325	1732
292	10361	1697
293	10393	1661
294	10426	1625
295	10475	1592
296	10572	1566
297	10635	1534
298	10674	1499
299	10711	1463
300	10760	1429
301	10793	1393
302	10826	1357
303	10855	1321
304	10891	1285
305	10929	1250
306	10967	1214
307	10996	1178
308	11026	1141
309	11059	1105
310	11110	1071
311	11143	1035
312	11186	1000
313	11217	964
314	11252	928
315	11293	893
316	11337	858
317	11375	822
318	11407	786
319	11439	750
320	11469	714
321	11509	679
322	11548	643
323	11577	607
324	11610	571
325	11641	535
326	11674	499
327	11705	463
328	11738	428
329	11772	392
330	11804	356
331	11838	320
332	11870	285
333	11901	249
334	11934	213
335	11966	178
336	11998	142
337	12028	106
338	12056	71
339	12086	35
340	12119	0
